var_x,var_y,cov_xy,anisotropy,is_fake
0.0982458,0.1308501,0.0010238447,0.14259703,0
0.05611787,0.038740072,0.0016707149,0.18655205,0
0.046867255,0.032871887,-0.0003436954,0.17572375,0
0.0735972,0.04912886,0.0077490616,0.2360003,0
0.026379824,0.03228968,-0.0010707466,0.1071388,0
0.016425617,0.051242717,0.002410522,0.5194272,0
0.12118965,0.107797354,0.01596669,0.15122165,0
0.014177584,0.019191425,-0.0010620238,0.16317639,0
0.09217675,0.08958144,0.014240819,0.15734908,0
0.020967742,0.013035061,-0.001323726,0.24593723,0
0.17550921,0.15161064,0.0035097569,0.076143496,0
0.09247481,0.07409988,-0.00019406121,0.11033438,0
0.06356512,0.041000105,0.0024556958,0.22084881,0
0.034984753,0.024377557,0.0011063733,0.18252918,0
0.006018029,0.028065527,-0.0043948614,0.6963572,0
0.16037746,0.30609736,0.0029590346,0.3126422,0
0.0314234,0.023301907,0.0008395718,0.1515407,0
0.14028026,0.082225636,-0.001146438,0.261115,0
0.06613376,0.049688697,0.0012191512,0.14353609,0
0.0777762,0.08508366,-0.0060180854,0.08645899,0
0.10398619,0.07562759,-0.0077983807,0.18018913,0
0.017550765,0.0150575815,0.0004361796,0.08100122,0
0.26617017,0.15480357,-0.0055166036,0.2658397,0
0.18193017,0.17946364,0.0067761946,0.038116265,0
0.111745104,0.10910373,0.0030178986,0.02983227,0
0.019381382,0.010107576,0.00047549416,0.31612247,0
0.03405519,0.029811244,-5.010663e-05,0.06646781,0
0.00961145,0.0058656745,0.00026369112,0.24439132,0
0.12731497,0.07246161,-0.007580459,0.28486663,0
0.073812544,0.11048801,-0.009903965,0.22616553,0
0.11601907,0.058915135,0.004927975,0.3312555,0
0.044976786,0.2275085,-0.0036251196,0.6704031,0
0.07725663,0.09294571,-0.0045768605,0.10672055,0
0.1813261,0.23750056,0.0045774602,0.1358926,0
0.039216924,0.19877721,-0.0011164895,0.67050076,0
0.023899347,0.06152711,-0.008771651,0.48598498,0
0.11458936,0.15657447,-0.00068657676,0.15491521,0
0.0062331604,0.051506493,-0.00041070709,0.7842098,0
0.017503155,0.086158276,0.007935304,0.67976034,0
0.08076668,0.12344341,-0.0036815305,0.21207105,0
0.008543262,0.06471991,-0.00042384543,0.76685566,0
0.012035285,0.037186213,0.001386968,0.5140624,0
0.03476091,0.17078972,-0.0031620227,0.66248924,0
0.06292785,0.24931505,0.0067335567,0.5984843,0
0.007986734,0.05684238,-0.00037126246,0.753682,0
0.06143734,0.08554961,-0.0003448913,0.1641096,0
0.042809278,0.09194015,0.0028249861,0.3670094,0
0.050610293,0.12291454,-0.0017050595,0.41714033,0
0.044906393,0.090410985,-0.010481886,0.3702481,0
0.003122737,0.027324516,1.9328763e-05,0.7948505,0
0.07896596,0.13187003,-0.0029355176,0.25246447,0
0.04230291,0.07517308,-0.013036838,0.35714012,0
0.11981071,0.11409953,-0.0051384056,0.050263267,0
0.24752489,0.12884256,0.005813617,0.31684518,0
0.02521092,0.04704128,0.0010188168,0.30345023,0
0.07544508,0.1312144,0.02077946,0.33654785,0
0.07479856,0.100943565,0.0027128654,0.15193798,0
0.018215187,0.04039398,0.00053798093,0.37885708,0
0.08638675,0.2790925,-0.009157582,0.52964324,0
0.05047193,0.09486762,0.0053359005,0.31416088,0
0.06702532,0.14864068,-0.00980656,0.38920614,0
0.01722253,0.0879434,-0.0002100163,0.6724749,0
0.036086656,0.0894478,0.0016499669,0.42588034,0
0.0043728487,0.10627695,-0.0006736133,0.9210328,0
0.34139186,0.41395724,-0.0034256338,0.09649575,0
0.05675017,0.069530964,0.0016651634,0.10458773,0
0.010703887,0.055893384,-0.0005673039,0.6787525,0
0.01880878,0.190021,-0.00035964447,0.8198683,0
0.002275624,0.021134749,-0.0003118912,0.8059945,0
0.054977506,0.058678422,0.0039772806,0.077191606,0
0.029614963,0.09488013,0.00048467342,0.52429247,0
0.0036252309,0.025616402,0.0005451383,0.75294805,0
0.046164237,0.06880824,0.0025727202,0.20197052,0
0.0016354334,0.008506725,0.00024636887,0.67917067,0
0.048275426,0.13342327,0.0063184677,0.47375137,0
0.25724873,0.14587544,0.016482167,0.28812215,0
0.042270258,0.08166333,-7.6876044e-05,0.31785616,0
0.021890158,0.037193503,-0.014546612,0.5563644,0
0.18206859,0.17886679,-0.10405048,0.5766268,0
0.07590383,0.13179845,0.0034348683,0.2711329,0
0.066354714,0.099380866,-0.0026968212,0.20190884,0
0.017492376,0.08510557,-0.005878967,0.6688951,0
0.04959534,0.10866473,0.0015068775,0.37372562,0
0.01636453,0.05011096,-0.0036530353,0.5194054,0
0.03964187,0.039788447,0.0055525755,0.13982037,0
0.034129646,0.08597664,-0.0024269694,0.43356,0
0.010760013,0.007699704,-0.0001240752,0.16631824,0
0.015147197,0.07293499,-0.0013960355,0.6568246,0
0.04050502,0.09509217,-0.004291796,0.407512,0
0.14281502,0.18255436,0.00471226,0.12552343,0
0.010070155,0.05557386,0.0029862951,0.6991239,0
0.011380013,0.061258662,0.01014491,0.74129647,0
0.027167609,0.06768659,-0.0039766203,0.43531778,0
0.087797344,0.077364355,0.008034656,0.11600125,0
0.072406285,0.038390055,0.0015439332,0.30827537,0
0.028879795,0.024512457,-0.0035471402,0.15602745,0
0.026199346,0.04514575,-0.000627975,0.2661391,0
0.04991073,0.032083858,-0.002507231,0.22584991,0
0.056486767,0.036558226,0.0056275907,0.24597771,0
0.024797011,0.01674086,0.0039308113,0.2709849,0
0.06423163,0.03264984,-0.0027103308,0.33074722,0
0.03676053,0.035919674,0.0010702703,0.03164189,0
0.054156635,0.051802535,-0.00013811405,0.022369284,0
0.0059488006,0.015007134,8.442862e-05,0.43231067,0
0.03462,0.039998174,0.0022607746,0.094162375,0
0.041265268,0.03697862,0.0036803216,0.10886195,0
0.046429463,0.04683998,0.0045911684,0.09854687,0
0.067880705,0.06479529,0.00010337336,0.023307176,0
0.03251243,0.036381274,0.0012665867,0.06712251,0
0.03676053,0.035919674,0.0010702703,0.03164189,0
0.10802891,0.042230967,0.0026619125,0.4393224,0
0.043209713,0.05757326,0.0043387297,0.16650693,0
0.03960192,0.024547245,0.004124491,0.26759878,0
0.018021736,0.011851004,-0.0017287219,0.23677383,0
0.024823766,0.023996139,3.3359916e-05,0.017007329,0
0.06527785,0.044909194,-0.000667883,0.18525065,0
0.037032545,0.04227189,0.0007972729,0.06905726,0
0.07457836,0.07764058,0.004135464,0.057939913,0
0.10191589,0.07916407,-0.0035758317,0.13170543,0
0.0121134315,0.007829689,0.000121511825,0.21513256,0
0.06636762,0.04348852,-2.8234184e-05,0.2082629,0
0.09291598,0.06622236,0.0020489353,0.16970244,0
0.029331865,0.030820245,-0.0043986626,0.1483272,0
0.050143905,0.03484921,0.0022015471,0.1872585,0
0.029887881,0.049078286,0.0043940786,0.26728767,0
0.10045868,0.3330043,0.003179598,0.5366825,0
0.050823927,0.032973185,0.002509619,0.22128145,0
0.03858196,0.01909039,0.00079861784,0.33909777,0
0.042412277,0.023533884,0.0030601046,0.3009329,0
0.03923785,0.046618972,-0.00080371567,0.08798412,0
0.057564516,0.032019217,0.0006686978,0.28554294,0
0.048352953,0.038886104,0.0062749796,0.18019402,0
0.034364942,0.026971875,0.0082570175,0.2949794,0
0.009278957,0.009473471,0.0017382719,0.1856717,0
0.026206741,0.026700772,0.0022091889,0.084030196,0
0.10577991,0.14330012,0.004532095,0.15496787,0
0.032577988,0.03297144,0.0013313538,0.041061863,0
0.39928657,0.536728,0.006694222,0.14753175,0
0.102605626,0.13309298,0.0020007696,0.13045776,0
0.0895478,0.180676,-0.013418341,0.3515505,0
0.31018132,0.042366832,0.0015616576,0.75970304,0
0.3319216,0.21899503,-0.0014999416,0.20505135,0
0.023306202,0.017755749,-9.8390476e-05,0.1352543,0
0.19000593,0.20743851,-0.011594013,0.07299111,0
0.19261709,0.20757657,-0.014544817,0.08173712,0
0.18591309,0.3283045,0.004476155,0.27745506,0
0.19958062,0.2629866,-0.0031456037,0.13774689,0
0.14793386,0.29398593,0.011293081,0.33442232,0
0.1967847,0.2955903,-0.014721845,0.2093915,0
0.16870938,0.25597438,0.014553092,0.21661015,0
0.09542366,0.112876356,0.022745296,0.23390964,0
0.18018025,0.28775644,0.014099244,0.2376611,0
0.16338967,0.2224615,0.014726778,0.17106946,0
0.16277091,0.28041354,0.02802782,0.2940419,0
0.036684256,0.07388077,0.001260336,0.3371906,0
0.041679632,0.0222828,0.0016329938,0.3075174,0
0.030048177,0.028303951,0.0006835732,0.037978623,0
0.02900207,0.022439884,0.0019169394,0.14773764,0
0.036359128,0.050024733,0.0010289735,0.15997815,0
0.034939576,0.04900637,0.0012722069,0.1702868,0
0.032344855,0.02571176,0.0015465687,0.1260617,0
0.25369355,0.1910087,-0.0032425849,0.14171115,0
0.037604973,0.04955214,-5.743899e-05,0.13708095,0
0.082268216,0.025080489,-0.00025307664,0.5327445,0
0.03815947,0.04311051,0.00097546726,0.06547915,0
0.008312415,0.014270708,0.00027466164,0.26494548,0
0.018011488,0.022981487,0.00067526294,0.12563372,0
0.16067271,0.19066963,0.011996906,0.10933028,0
0.014483941,0.030789616,-0.002780787,0.38052413,0
0.2004676,0.2222787,-0.0042229616,0.055326786,0
0.026686471,0.022520756,-0.0038411824,0.17759432,0
0.02463741,0.032822363,0.0044660186,0.21084057,0
0.4835861,0.19864883,-0.0025213074,0.41771752,0
0.09081272,0.118545786,-0.0017008614,0.13345897,0
0.031197954,0.03108516,-0.0002999808,0.009801389,0
0.009096403,0.02244688,0.003547383,0.47928062,0
0.057114057,0.0374009,-0.004324867,0.2277641,0
0.03563825,0.02892677,0.002612147,0.13172764,0
0.084144466,0.08569148,0.011583043,0.13670574,0
0.032311145,0.02473135,0.0010471555,0.1378563,0
0.096467055,0.0756498,0.012909841,0.19269623,0
0.030188605,0.02510903,0.0052254503,0.21013096,0
0.05603921,0.045468017,0.004691787,0.13925096,0
0.098526955,0.07550194,-0.02018304,0.26702988,0
0.04857512,0.53898853,0.0008705982,0.83465964,0
0.07013441,0.057116304,-0.0011771129,0.10396139,0
0.05657625,0.032065436,0.006012881,0.3080005,0
0.05084238,0.056838907,0.0032914788,0.08269419,0
0.030990936,0.042768445,-0.00050719496,0.16026372,0
0.042222023,0.048116673,-0.0037538512,0.10565993,0
0.018729089,0.018347349,-0.00080868445,0.044819962,0
0.09562263,0.06488203,-0.0014790168,0.1924081,0
0.047367904,0.050450973,0.0073712347,0.15397072,0
0.057963528,0.096796826,-0.014200885,0.31087333,0
0.08157756,0.06426517,0.011045761,0.19244546,0
0.11603781,0.085069716,-0.006039502,0.16528596,0
0.008259422,0.004428981,0.00086256594,0.33106324,0
0.057293095,0.068322234,0.005164307,0.12028956,0
0.028151423,0.10690331,-0.003012204,0.58481026,0
0.027246358,0.0808328,-0.0012306105,0.4963255,0
0.00746569,0.060416605,8.9731555e-05,0.7800331,0
0.004397069,0.03648283,7.434119e-05,0.78486794,0
0.01573121,0.117400415,-0.0016108967,0.764052,0
0.009101963,0.044614777,0.00028532755,0.6611857,0
0.0049117054,0.023145474,0.0011047705,0.6546097,0
0.022995433,0.026991036,-0.00076665025,0.085615486,0
0.057530098,0.1410396,-0.006961503,0.42635795,0
0.022905516,0.016694088,0.0058860243,0.3361125,0
0.011799617,0.0062556625,0.0013662105,0.34230423,0
0.026700975,0.050827276,0.0018628472,0.31487826,0
0.028261757,0.06395819,-0.0013612693,0.38819927,0
0.06329031,0.13752705,-0.0016092433,0.37001833,0
0.045760836,0.063379586,0.0011239428,0.16273901,0
0.015296029,0.06181121,0.002556684,0.6068793,0
0.036317687,0.08753287,-0.0007670527,0.41370618,0
