var_x,var_y,cov_xy,anisotropy,fft_score,is_fake
0.0982458,0.1308501,0.0010238447,0.14259703,106.25899,0
0.05611787,0.038740072,0.0016707149,0.18655205,185.29799,0
0.046867255,0.032871887,-0.0003436954,0.17572375,182.9265,0
0.0735972,0.04912886,0.0077490616,0.2360003,162.67195,0
0.026379824,0.03228968,-0.0010707466,0.1071388,191.25887,0
0.016425617,0.051242717,0.002410522,0.5194272,122.05864,0
0.12118965,0.107797354,0.01596669,0.15122165,149.61992,0
0.014177584,0.019191425,-0.0010620238,0.16317639,151.1777,0
0.09217675,0.08958144,0.014240819,0.15734908,161.74246,0
0.020967742,0.013035061,-0.001323726,0.24593723,196.81589,0
0.17550921,0.15161064,0.0035097569,0.076143496,194.65498,0
0.09247481,0.07409988,-0.00019406121,0.11033438,236.58423,0
0.06356512,0.041000105,0.0024556958,0.22084881,220.22137,0
0.034984753,0.024377557,0.0011063733,0.18252918,177.78886,0
0.006018029,0.028065527,-0.0043948614,0.6963572,162.82004,0
0.16037746,0.30609736,0.0029590346,0.3126422,157.29553,0
0.0314234,0.023301907,0.0008395718,0.1515407,192.98404,0
0.14028026,0.082225636,-0.001146438,0.261115,176.99884,0
0.06613376,0.049688697,0.0012191512,0.14353609,231.84763,0
0.0777762,0.08508366,-0.0060180854,0.08645899,166.81671,0
0.10398619,0.07562759,-0.0077983807,0.18018913,191.1284,0
0.017550765,0.0150575815,0.0004361796,0.08100122,168.96288,0
0.26617017,0.15480357,-0.0055166036,0.2658397,218.02878,0
0.18193017,0.17946364,0.0067761946,0.038116265,148.3573,0
0.111745104,0.10910373,0.0030178986,0.02983227,181.40445,0
0.019381382,0.010107576,0.00047549416,0.31612247,243.99413,0
0.03405519,0.029811244,-5.010663e-05,0.06646781,196.94261,0
0.00961145,0.0058656745,0.00026369112,0.24439132,153.16025,0
0.12731497,0.07246161,-0.007580459,0.28486663,207.55424,0
0.073812544,0.11048801,-0.009903965,0.22616553,105.44567,0
0.11601907,0.058915135,0.004927975,0.3312555,101.81487,0
0.044976786,0.2275085,-0.0036251196,0.6704031,124.39838,0
0.07725663,0.09294571,-0.0045768605,0.10672055,93.398506,0
0.1813261,0.23750056,0.0045774602,0.1358926,113.83099,0
0.039216924,0.19877721,-0.0011164895,0.67050076,115.895,0
0.023899347,0.06152711,-0.008771651,0.48598498,104.51694,0
0.11458936,0.15657447,-0.00068657676,0.15491521,104.475845,0
0.0062331604,0.051506493,-0.00041070709,0.7842098,99.55079,0
0.017503155,0.086158276,0.007935304,0.67976034,104.74974,0
0.08076668,0.12344341,-0.0036815305,0.21207105,101.51596,0
0.008543262,0.06471991,-0.00042384543,0.76685566,117.03996,0
0.012035285,0.037186213,0.001386968,0.5140624,101.31003,0
0.03476091,0.17078972,-0.0031620227,0.66248924,109.540565,0
0.06292785,0.24931505,0.0067335567,0.5984843,113.35077,0
0.007986734,0.05684238,-0.00037126246,0.753682,110.59353,0
0.06143734,0.08554961,-0.0003448913,0.1641096,109.43288,0
0.042809278,0.09194015,0.0028249861,0.3670094,112.67288,0
0.050610293,0.12291454,-0.0017050595,0.41714033,108.642136,0
0.044906393,0.090410985,-0.010481886,0.3702481,108.635086,0
0.003122737,0.027324516,1.9328763e-05,0.7948505,107.887024,0
0.07896596,0.13187003,-0.0029355176,0.25246447,103.39738,0
0.04230291,0.07517308,-0.013036838,0.35714012,107.580574,0
0.11981071,0.11409953,-0.0051384056,0.050263267,117.08472,0
0.24752489,0.12884256,0.005813617,0.31684518,126.15531,0
0.02521092,0.04704128,0.0010188168,0.30345023,105.97972,0
0.07544508,0.1312144,0.02077946,0.33654785,114.627754,0
0.07479856,0.100943565,0.0027128654,0.15193798,102.030174,0
0.018215187,0.04039398,0.00053798093,0.37885708,90.95666,0
0.08638675,0.2790925,-0.009157582,0.52964324,107.404366,0
0.05047193,0.09486762,0.0053359005,0.31416088,103.07133,0
0.06702532,0.14864068,-0.00980656,0.38920614,108.32603,0
0.01722253,0.0879434,-0.0002100163,0.6724749,120.898964,0
0.036086656,0.0894478,0.0016499669,0.42588034,114.591255,0
0.0043728487,0.10627695,-0.0006736133,0.9210328,114.95863,0
0.34139186,0.41395724,-0.0034256338,0.09649575,112.00622,0
0.05675017,0.069530964,0.0016651634,0.10458773,101.15563,0
0.010703887,0.055893384,-0.0005673039,0.6787525,101.20851,0
0.01880878,0.190021,-0.00035964447,0.8198683,126.23165,0
